reporter,partner,weight,region
Albania,Austria,755000.0,Europe
Albania,Bahrain,81000.0,Europe
Albania,Belgium,12000.0,Europe
Albania,Bosnia and Herzegovina,3926000.0,Europe
Albania,Bulgaria,123000.0,Europe
Albania,Croatia,447000.0,Europe
Albania,Cyprus,66000.0,Europe
Albania,Czechia,164000.0,Europe
Albania,Eswatini,48000.0,Europe
Albania,Finland,5000.0,Europe
Albania,France,2279000.0,Europe
Albania,Germany,8146000.0,Europe
Albania,Greece,7528000.0,Europe
Albania,Hungary,258000.0,Europe
Albania,Italy,6791000.0,Europe
Albania,Japan,51000.0,Europe
Albania,Malaysia,1000.0,Europe
Albania,Mexico,8000.0,Europe
Albania,Norway,6000.0,Europe
Albania,Poland,82000.0,Europe
Albania,Portugal,3000.0,Europe
Albania,Russian Federation,1000.0,Europe
Albania,Serbia,8008000.0,Europe
Albania,Singapore,2000.0,Europe
Albania,Slovakia,190000.0,Europe
Albania,Slovenia,49000.0,Europe
Albania,Spain,342000.0,Europe
Albania,Switzerland,299000.0,Europe
Albania,The former Yugoslav Republic of Macedonia,1368000.0,Europe
Albania,Turkey,2590000.0,Europe
Albania,United Kingdom,32000.0,Europe
Albania,United States of America,2712000.0,Europe
Albania,Unspecified Area,15000.0,Europe
Algeria,Afghanistan,65000.0,Africa
Algeria,Bahrain,9000.0,Africa
Algeria,Belgium,1010000.0,Africa
Algeria,Benin,1231000.0,Africa
Algeria,Cabo Verde,8000.0,Africa
Algeria,Cameroon,11000.0,Africa
Algeria,Canada,840000.0,Africa
Algeria,Croatia,316000.0,Africa
Algeria,Cuba,2000.0,Africa
Algeria,Denmark,27000.0,Africa
Algeria,Egypt,222000.0,Africa
Algeria,France,23648000.0,Africa
Algeria,Gambia,337000.0,Africa
Algeria,Germany,161000.0,Africa
Algeria,Ghana,333000.0,Africa
Algeria,Greece,20000.0,Africa
Algeria,Guinea,1380000.0,Africa
Algeria,Indonesia,44000.0,Africa
Algeria,Ireland,5000.0,Africa
Algeria,Italy,8567000.0,Africa
Algeria,Jordan,55000.0,Africa
Algeria,Kuwait,2514000.0,Africa
Algeria,Lebanon,73000.0,Africa
Algeria,Liberia,162000.0,Africa
Algeria,Libya,7228000.0,Africa
Algeria,Mali,41000.0,Africa
Algeria,Malta,33000.0,Africa
Algeria,Mauritania,844000.0,Africa
Algeria,Mexico,11000.0,Africa
Algeria,Morocco,1358000.0,Africa
Algeria,Netherlands,4815000.0,Africa
Algeria,Niger,232000.0,Africa
Algeria,Portugal,77000.0,Africa
Algeria,Qatar,113000.0,Africa
Algeria,Russian Federation,440000.0,Africa
Algeria,Sao Tome and Principe,26000.0,Africa
Algeria,Saudi Arabia,24000.0,Africa
Algeria,Senegal,71000.0,Africa
Algeria,Serbia,104000.0,Africa
Algeria,Sierra Leone,226000.0,Africa
Algeria,South Africa,12000.0,Africa
Algeria,Spain,4066000.0,Africa
Algeria,Sweden,187000.0,Africa
Algeria,Switzerland,277000.0,Africa
Algeria,Syrian Arab Republic,120000.0,Africa
Algeria,Tunisia,3973000.0,Africa
Algeria,Turkey,563000.0,Africa
Algeria,Ukraine,67000.0,Africa
Algeria,United Arab Emirates,1718000.0,Africa
Algeria,United Kingdom,2121000.0,Africa
Algeria,United States of America,610000.0,Africa
Algeria,Unspecified Area,1126000.0,Africa
Argentina,Albania,514000.0,Americas
Argentina,Algeria,473933000.0,Americas
Argentina,American Samoa,5000.0,Americas
Argentina,Angola,105040000.0,Americas
Argentina,Antigua and Barbuda,299000.0,Americas
Argentina,Armenia,938000.0,Americas
Argentina,Aruba,3375000.0,Americas
Argentina,Australia,52824000.0,Americas
Argentina,Austria,3747000.0,Americas
Argentina,Azerbaijan,416000.0,Americas
Argentina,Bahamas,211000.0,Americas
Argentina,Bahrain,2344000.0,Americas
Argentina,Bangladesh,130247000.0,Americas
Argentina,Barbados,951000.0,Americas
Argentina,Belarus,707000.0,Americas
Argentina,Belgium,247651000.0,Americas
Argentina,Belize,60000.0,Americas
Argentina,Benin,4571000.0,Americas
Argentina,Bolivia (Plurinational State of),81113000.0,Americas
Argentina,Bosnia and Herzegovina,1602000.0,Americas
Argentina,Botswana,31000.0,Americas
Argentina,Brazil,1853589000.0,Americas
Argentina,Brunei Darussalam,170000.0,Americas
Argentina,Bulgaria,13533000.0,Americas
Argentina,Burkina Faso,2209000.0,Americas
Argentina,Cabo Verde,1982000.0,Americas
Argentina,Cameroon,6447000.0,Americas
Argentina,Canada,91314000.0,Americas
Argentina,Central African Republic,21000.0,Americas
Argentina,Chad,207000.0,Americas
Argentina,Chile,889192000.0,Americas
Argentina,"China, Hong Kong SAR",56210000.0,Americas
Argentina,"China, Macao SAR",104000.0,Americas
Argentina,"China, mainland",2131964000.0,Americas
Argentina,"China, Taiwan Province of",30636000.0,Americas
Argentina,Colombia,269480000.0,Americas
Argentina,Comoros,343000.0,Americas
Argentina,Congo,42261000.0,Americas
Argentina,Costa Rica,11920000.0,Americas
Argentina,Côte d'Ivoire,10222000.0,Americas
Argentina,Croatia,5452000.0,Americas
Argentina,Cuba,67790000.0,Americas
Argentina,Cyprus,23632000.0,Americas
Argentina,Czechia,6574000.0,Americas
Argentina,Democratic Republic of the Congo,35236000.0,Americas
Argentina,Denmark,280465000.0,Americas
Argentina,Djibouti,150000.0,Americas
Argentina,Dominica,67000.0,Americas
Argentina,Dominican Republic,69231000.0,Americas
Argentina,Ecuador,157099000.0,Americas
Argentina,Egypt,247601000.0,Americas
Argentina,El Salvador,5886000.0,Americas
Argentina,Equatorial Guinea,738000.0,Americas
Argentina,Eritrea,19000.0,Americas
Argentina,Estonia,2160000.0,Americas
Argentina,Eswatini,47000.0,Americas
Argentina,Fiji,42000.0,Americas
Argentina,Finland,8962000.0,Americas
Argentina,France,349517000.0,Americas
Argentina,Gabon,5125000.0,Americas
Argentina,Gambia,2044000.0,Americas
Argentina,Georgia,19151000.0,Americas
Argentina,Germany,456006000.0,Americas
Argentina,Greece,58593000.0,Americas
Argentina,Grenada,436000.0,Americas
Argentina,Guatemala,31445000.0,Americas
Argentina,Guinea,2104000.0,Americas
Argentina,Guinea-Bissau,466000.0,Americas
Argentina,Guyana,1560000.0,Americas
Argentina,Haiti,18336000.0,Americas
Argentina,Honduras,5140000.0,Americas
Argentina,Hungary,762000.0,Americas
Argentina,Iceland,795000.0,Americas
Argentina,India,732872000.0,Americas
Argentina,Indonesia,264574000.0,Americas
Argentina,Iran (Islamic Republic of),23000.0,Americas
Argentina,Iraq,30848000.0,Americas
Argentina,Ireland,90504000.0,Americas
Argentina,Israel,91414000.0,Americas
Argentina,Italy,686983000.0,Americas
Argentina,Jamaica,12387000.0,Americas
Argentina,Japan,99700000.0,Americas
Argentina,Jordan,35964000.0,Americas
Argentina,Kazakhstan,421000.0,Americas
Argentina,Kenya,14391000.0,Americas
Argentina,Kuwait,40961000.0,Americas
Argentina,Latvia,23089000.0,Americas
Argentina,Lebanon,16529000.0,Americas
Argentina,Liberia,3335000.0,Americas
Argentina,Libya,68366000.0,Americas
Argentina,Lithuania,4722000.0,Americas
Argentina,Luxembourg,860000.0,Americas
Argentina,Madagascar,14408000.0,Americas
Argentina,Malawi,4628000.0,Americas
Argentina,Malaysia,518549000.0,Americas
Argentina,Maldives,31000.0,Americas
Argentina,Mali,2400000.0,Americas
Argentina,Malta,3489000.0,Americas
Argentina,Mauritania,1723000.0,Americas
Argentina,Mauritius,27728000.0,Americas
Argentina,Mexico,177488000.0,Americas
Argentina,Mongolia,688000.0,Americas
Argentina,Morocco,204267000.0,Americas
Argentina,Mozambique,33590000.0,Americas
Argentina,Namibia,1576000.0,Americas
Argentina,Nepal,100000.0,Americas
Argentina,Netherlands,1154137000.0,Americas
Argentina,Netherlands Antilles (former),4773000.0,Americas
Argentina,New Zealand,5088000.0,Americas
Argentina,Nicaragua,6023000.0,Americas
Argentina,Niger,11029000.0,Americas
Argentina,Nigeria,58135000.0,Americas
Argentina,Norway,10987000.0,Americas
Argentina,Occupied Palestinian Territory,658000.0,Americas
Argentina,Oman,28287000.0,Americas
Argentina,Pakistan,5026000.0,Americas
Argentina,Panama,16627000.0,Americas
Argentina,Paraguay,114099000.0,Americas
Argentina,Peru,440158000.0,Americas
Argentina,Philippines,216957000.0,Americas
Argentina,Poland,305455000.0,Americas
Argentina,Portugal,69937000.0,Americas
Argentina,Qatar,1262000.0,Americas
Argentina,Republic of Korea,213493000.0,Americas
Argentina,Republic of Moldova,277000.0,Americas
Argentina,Romania,23667000.0,Americas
Argentina,Russian Federation,812944000.0,Americas
Argentina,Rwanda,525000.0,Americas
Argentina,Saint Kitts and Nevis,222000.0,Americas
Argentina,Saint Lucia,506000.0,Americas
Argentina,Saint Vincent and the Grenadines,176000.0,Americas
Argentina,Saudi Arabia,113095000.0,Americas
Argentina,Senegal,72616000.0,Americas
Argentina,Serbia,2236000.0,Americas
Argentina,Sierra Leone,8122000.0,Americas
Argentina,Singapore,5576000.0,Americas
Argentina,Slovakia,46000.0,Americas
Argentina,Slovenia,19463000.0,Americas
Argentina,South Africa,564801000.0,Americas
Argentina,Spain,893788000.0,Americas
Argentina,Sri Lanka,78000.0,Americas
Argentina,Sudan (former),2467000.0,Americas
Argentina,Suriname,3707000.0,Americas
Argentina,Sweden,19768000.0,Americas
Argentina,Switzerland,11221000.0,Americas
Argentina,Syrian Arab Republic,123240000.0,Americas
Argentina,Thailand,221968000.0,Americas
Argentina,The former Yugoslav Republic of Macedonia,603000.0,Americas
Argentina,Togo,9006000.0,Americas
Argentina,Trinidad and Tobago,15002000.0,Americas
Argentina,Tunisia,125165000.0,Americas
Argentina,Turkey,177472000.0,Americas
Argentina,Uganda,2029000.0,Americas
Argentina,Ukraine,23011000.0,Americas
Argentina,United Arab Emirates,76164000.0,Americas
Argentina,United Kingdom,335013000.0,Americas
Argentina,United Republic of Tanzania,19650000.0,Americas
Argentina,United States of America,761333000.0,Americas
Argentina,Unspecified Area,49802000.0,Americas
Argentina,Uruguay,163430000.0,Americas
Argentina,Venezuela (Bolivarian Republic of),231770000.0,Americas
Argentina,Viet Nam,166077000.0,Americas
Argentina,Yemen,58775000.0,Americas
Argentina,Zambia,91000.0,Americas
Armenia,Australia,111000.0,Asia
Armenia,Bahamas,1320000.0,Asia
Armenia,Belarus,3426000.0,Asia
Armenia,Belgium,141000.0,Asia
Armenia,Bulgaria,118000.0,Asia
Armenia,Canada,224000.0,Asia
Armenia,"China, Hong Kong SAR",133000.0,Asia
Armenia,"China, mainland",44000.0,Asia
Armenia,"China, Taiwan Province of",68000.0,Asia
Armenia,Cyprus,39000.0,Asia
Armenia,Czechia,2000.0,Asia
Armenia,Eswatini,3000.0,Asia
Armenia,France,263000.0,Asia
Armenia,Georgia,12986000.0,Asia
Armenia,Germany,399000.0,Asia
Armenia,Greece,49000.0,Asia
Armenia,Iran (Islamic Republic of),1951000.0,Asia
Armenia,Iraq,105000.0,Asia
Armenia,Israel,44000.0,Asia
Armenia,Italy,5000.0,Asia
Armenia,Japan,34000.0,Asia
Armenia,Jordan,41000.0,Asia
Armenia,Kazakhstan,1176000.0,Asia
Armenia,Kuwait,26000.0,Asia
Armenia,Kyrgyzstan,31000.0,Asia
Armenia,Latvia,1111000.0,Asia
Armenia,Lebanon,49000.0,Asia
Armenia,Lithuania,28000.0,Asia
Armenia,Malaysia,61000.0,Asia
Armenia,Netherlands,4000.0,Asia
Armenia,New Zealand,67000.0,Asia
Armenia,Philippines,291000.0,Asia
Armenia,Poland,118000.0,Asia
Armenia,Republic of Korea,250000.0,Asia
Armenia,Republic of Moldova,95000.0,Asia
Armenia,Russian Federation,70684000.0,Asia
Armenia,Slovakia,2000.0,Asia
Armenia,Sweden,141000.0,Asia
Armenia,Switzerland,9000.0,Asia
Armenia,Tajikistan,74000.0,Asia
Armenia,Turkey,76000.0,Asia
Armenia,Turkmenistan,455000.0,Asia
Armenia,Ukraine,10192000.0,Asia
Armenia,United Arab Emirates,92000.0,Asia
Armenia,United Kingdom,14000.0,Asia
Armenia,United States of America,5656000.0,Asia
Armenia,Unspecified Area,904000.0,Asia
Armenia,Viet Nam,175000.0,Asia
Aruba,Antigua and Barbuda,45000.0,Americas
Aruba,Belgium,1501000.0,Americas
Aruba,Colombia,15147000.0,Americas
Aruba,Cuba,1000.0,Americas
Aruba,Cyprus,2000.0,Americas
Aruba,Dominican Republic,54000.0,Americas
Aruba,Haiti,62000.0,Americas
Aruba,Honduras,280000.0,Americas
Aruba,Netherlands,19719000.0,Americas
Aruba,Netherlands Antilles (former),4506000.0,Americas
Aruba,Panama,30254000.0,Americas
Aruba,Poland,560000.0,Americas
Aruba,Suriname,1922000.0,Americas
Aruba,Trinidad and Tobago,372000.0,Americas
Aruba,United Kingdom,1218000.0,Americas
Aruba,United States of America,444000.0,Americas
Aruba,Unspecified Area,174000.0,Americas
Aruba,Venezuela (Bolivarian Republic of),12264000.0,Americas
Australia,Albania,3232000.0,Oceania
Australia,Algeria,19437000.0,Oceania
Australia,American Samoa,3365000.0,Oceania
Australia,Angola,97000.0,Oceania
Australia,Antigua and Barbuda,165000.0,Oceania
Australia,Argentina,3076000.0,Oceania
Australia,Armenia,793000.0,Oceania
Australia,Austria,2903000.0,Oceania
Australia,Azerbaijan,2664000.0,Oceania
Australia,Bahamas,2322000.0,Oceania
Australia,Bahrain,44772000.0,Oceania
Australia,Bangladesh,82579000.0,Oceania
Australia,Barbados,718000.0,Oceania
Australia,Belarus,81000.0,Oceania
Australia,Belgium,105643000.0,Oceania
Australia,Belize,55000.0,Oceania
Australia,Benin,442000.0,Oceania
Australia,Bermuda,841000.0,Oceania
Australia,Bolivia (Plurinational State of),95000.0,Oceania
Australia,Bosnia and Herzegovina,1205000.0,Oceania
Australia,Brazil,8191000.0,Oceania
Australia,British Virgin Islands,95000.0,Oceania
Australia,Brunei Darussalam,10874000.0,Oceania
Australia,Bulgaria,15280000.0,Oceania
Australia,Cambodia,8578000.0,Oceania
Australia,Cameroon,179000.0,Oceania
Australia,Canada,295166000.0,Oceania
Australia,Cayman Islands,193000.0,Oceania
Australia,Chad,1475000.0,Oceania
Australia,Chile,3317000.0,Oceania
Australia,"China, Hong Kong SAR",297676000.0,Oceania
Australia,"China, Macao SAR",2716000.0,Oceania
Australia,"China, mainland",2030353000.0,Oceania
Australia,"China, Taiwan Province of",441151000.0,Oceania
Australia,Colombia,375000.0,Oceania
Australia,Congo,41000.0,Oceania
Australia,Cook Islands,1354000.0,Oceania
Australia,Costa Rica,927000.0,Oceania
Australia,Côte d'Ivoire,1387000.0,Oceania
Australia,Croatia,311000.0,Oceania
Australia,Cuba,1581000.0,Oceania
Australia,Cyprus,1050000.0,Oceania
Australia,Czechia,69526000.0,Oceania
Australia,Democratic Republic of the Congo,24000.0,Oceania
Australia,Denmark,57935000.0,Oceania
Australia,Djibouti,233000.0,Oceania
Australia,Dominica,458000.0,Oceania
Australia,Dominican Republic,1607000.0,Oceania
Australia,Ecuador,146000.0,Oceania
Australia,Egypt,265278000.0,Oceania
Australia,El Salvador,7297000.0,Oceania
Australia,Estonia,556000.0,Oceania
Australia,Ethiopia,22000.0,Oceania
Australia,Falkland Islands (Malvinas),148000.0,Oceania
Australia,Fiji,71935000.0,Oceania
Australia,Finland,11280000.0,Oceania
Australia,France,59629000.0,Oceania
Australia,French Polynesia,22361000.0,Oceania
Australia,Gabon,608000.0,Oceania
Australia,Georgia,3315000.0,Oceania
Australia,Germany,144273000.0,Oceania
Australia,Ghana,5488000.0,Oceania
Australia,Greece,1455000.0,Oceania
Australia,Grenada,50000.0,Oceania
Australia,Guam,4317000.0,Oceania
Australia,Guatemala,13573000.0,Oceania
Australia,Guinea,2000.0,Oceania
Australia,Honduras,1612000.0,Oceania
Australia,Hungary,5392000.0,Oceania
Australia,Iceland,2547000.0,Oceania
Australia,India,472568000.0,Oceania
Australia,Indonesia,1196971000.0,Oceania
Australia,Iran (Islamic Republic of),87394000.0,Oceania
Australia,Iraq,79646000.0,Oceania
Australia,Ireland,45235000.0,Oceania
Australia,Israel,48241000.0,Oceania
Australia,Italy,322922000.0,Oceania
Australia,Jamaica,17323000.0,Oceania
Australia,Japan,3233582000.0,Oceania
Australia,Jordan,52640000.0,Oceania
Australia,Kazakhstan,100000.0,Oceania
Australia,Kenya,460000.0,Oceania
Australia,Kiribati,6688000.0,Oceania
Australia,Kuwait,161467000.0,Oceania
Australia,Kyrgyzstan,62000.0,Oceania
Australia,Lao People's Democratic Republic,756000.0,Oceania
Australia,Latvia,3591000.0,Oceania
Australia,Lebanon,11910000.0,Oceania
Australia,Libya,5059000.0,Oceania
Australia,Lithuania,1914000.0,Oceania
Australia,Luxembourg,42000.0,Oceania
Australia,Madagascar,1472000.0,Oceania
Australia,Malawi,137000.0,Oceania
Australia,Malaysia,491291000.0,Oceania
Australia,Maldives,4053000.0,Oceania
Australia,Mali,155000.0,Oceania
Australia,Malta,2116000.0,Oceania
Australia,Marshall Islands,1176000.0,Oceania
Australia,Mauritania,30000.0,Oceania
Australia,Mauritius,56443000.0,Oceania
Australia,Mexico,77597000.0,Oceania
Australia,Micronesia (Federated States of),4182000.0,Oceania
Australia,Mongolia,63000.0,Oceania
Australia,Morocco,13506000.0,Oceania
Australia,Mozambique,143000.0,Oceania
Australia,Myanmar,18702000.0,Oceania
Australia,Namibia,71000.0,Oceania
Australia,Nauru,2152000.0,Oceania
Australia,Nepal,3180000.0,Oceania
Australia,Netherlands,107560000.0,Oceania
Australia,Netherlands Antilles (former),158000.0,Oceania
Australia,New Caledonia,30566000.0,Oceania
Australia,New Zealand,817086000.0,Oceania
Australia,Nicaragua,1324000.0,Oceania
Australia,Nigeria,24477000.0,Oceania
Australia,Niue,31000.0,Oceania
Australia,Norway,15006000.0,Oceania
Australia,Oman,66024000.0,Oceania
Australia,Pakistan,109110000.0,Oceania
Australia,Palau,249000.0,Oceania
Australia,Panama,957000.0,Oceania
Australia,Papua New Guinea,95527000.0,Oceania
Australia,Paraguay,362000.0,Oceania
Australia,Peru,6143000.0,Oceania
Australia,Philippines,211554000.0,Oceania
Australia,Poland,2694000.0,Oceania
Australia,Portugal,16606000.0,Oceania
Australia,Qatar,48213000.0,Oceania
Australia,Republic of Korea,1163966000.0,Oceania
Australia,Republic of Moldova,5000.0,Oceania
Australia,Romania,1951000.0,Oceania
Australia,Russian Federation,184948000.0,Oceania
Australia,"Saint Helena, Ascension and Tristan da Cunha",40000.0,Oceania
Australia,Saint Kitts and Nevis,150000.0,Oceania
Australia,Saint Lucia,378000.0,Oceania
Australia,Samoa,4584000.0,Oceania
Australia,Saudi Arabia,496435000.0,Oceania
Australia,Senegal,556000.0,Oceania
Australia,Serbia,16000.0,Oceania
Australia,Seychelles,1985000.0,Oceania
Australia,Sierra Leone,2144000.0,Oceania
Australia,Singapore,478293000.0,Oceania
Australia,Slovakia,675000.0,Oceania
Australia,Slovenia,391000.0,Oceania
Australia,Solomon Islands,5801000.0,Oceania
Australia,South Africa,88364000.0,Oceania
Australia,Spain,19565000.0,Oceania
Australia,Sri Lanka,75514000.0,Oceania
Australia,Sudan (former),183341000.0,Oceania
Australia,Suriname,5000.0,Oceania
Australia,Sweden,36176000.0,Oceania
Australia,Switzerland,38403000.0,Oceania
Australia,Syrian Arab Republic,1172000.0,Oceania
Australia,Tajikistan,174000.0,Oceania
Australia,Thailand,414921000.0,Oceania
Australia,The former Yugoslav Republic of Macedonia,4000.0,Oceania
Australia,Timor-Leste,3657000.0,Oceania
Australia,Togo,35000.0,Oceania
Australia,Tonga,2324000.0,Oceania
Australia,Trinidad and Tobago,8944000.0,Oceania
Australia,Tunisia,1606000.0,Oceania
Australia,Turkey,30933000.0,Oceania
Australia,Turkmenistan,474000.0,Oceania
Australia,Tuvalu,1165000.0,Oceania
Australia,Uganda,144000.0,Oceania
Australia,Ukraine,515000.0,Oceania
Australia,United Arab Emirates,310175000.0,Oceania
Australia,United Kingdom,899647000.0,Oceania
Australia,United Republic of Tanzania,490000.0,Oceania
Australia,United States of America,2128313000.0,Oceania
Australia,Unspecified Area,612959000.0,Oceania
Australia,Uruguay,3925000.0,Oceania
Australia,Vanuatu,6738000.0,Oceania
Australia,Venezuela (Bolivarian Republic of),575000.0,Oceania
Australia,Viet Nam,204236000.0,Oceania
Australia,Wallis and Futuna Islands,1937000.0,Oceania
Australia,Yemen,122652000.0,Oceania
Australia,Zambia,7000.0,Oceania
Australia,Zimbabwe,351000.0,Oceania
Austria,Afghanistan,684000.0,Europe
Austria,Albania,21003000.0,Europe
Austria,Algeria,12575000.0,Europe
Austria,Angola,2875000.0,Europe
Austria,Antigua and Barbuda,254000.0,Europe
Austria,Argentina,779000.0,Europe
Austria,Armenia,1596000.0,Europe
Austria,Aruba,611000.0,Europe
Austria,Australia,64019000.0,Europe
Austria,Azerbaijan,4816000.0,Europe
Austria,Bahamas,2432000.0,Europe
Austria,Bahrain,5306000.0,Europe
Austria,Bangladesh,52000.0,Europe
Austria,Barbados,1016000.0,Europe
Austria,Belarus,6428000.0,Europe
Austria,Belgium,127327000.0,Europe
Austria,Belize,2776000.0,Europe
Austria,Benin,107000.0,Europe
Austria,Bermuda,496000.0,Europe
Austria,Bolivia (Plurinational State of),1118000.0,Europe
Austria,Bosnia and Herzegovina,55361000.0,Europe
Austria,Brazil,30951000.0,Europe
Austria,British Virgin Islands,496000.0,Europe
Austria,Bulgaria,43441000.0,Europe
Austria,Cabo Verde,68000.0,Europe
Austria,Cambodia,18000.0,Europe
Austria,Cameroon,177000.0,Europe
Austria,Canada,39870000.0,Europe
Austria,Cayman Islands,767000.0,Europe
Austria,Chile,2957000.0,Europe
Austria,"China, Hong Kong SAR",6360000.0,Europe
Austria,"China, Macao SAR",37000.0,Europe
Austria,"China, mainland",3605000.0,Europe
Austria,"China, Taiwan Province of",4290000.0,Europe
Austria,Colombia,6366000.0,Europe
Austria,Congo,180000.0,Europe
Austria,Costa Rica,2361000.0,Europe
Austria,Côte d'Ivoire,248000.0,Europe
Austria,Croatia,126145000.0,Europe
Austria,Cuba,335000.0,Europe
Austria,Cyprus,12679000.0,Europe
Austria,Czechia,211831000.0,Europe
Austria,Democratic People's Republic of Korea,1000.0,Europe
Austria,Democratic Republic of the Congo,48000.0,Europe
Austria,Denmark,40481000.0,Europe
Austria,Djibouti,749000.0,Europe
Austria,Dominican Republic,4094000.0,Europe
Austria,Ecuador,2550000.0,Europe
Austria,Egypt,1904000.0,Europe
Austria,El Salvador,992000.0,Europe
Austria,Equatorial Guinea,63000.0,Europe
Austria,Estonia,8319000.0,Europe
Austria,Ethiopia,43000.0,Europe
Austria,Finland,21155000.0,Europe
Austria,France,204449000.0,Europe
Austria,French Polynesia,25000.0,Europe
Austria,Gabon,144000.0,Europe
Austria,Gambia,321000.0,Europe
Austria,Georgia,4805000.0,Europe
Austria,Germany,2686707000.0,Europe
Austria,Ghana,3573000.0,Europe
Austria,Greece,65504000.0,Europe
Austria,Grenada,213000.0,Europe
Austria,Guatemala,1296000.0,Europe
Austria,Guinea,30952000.0,Europe
Austria,Guyana,3000.0,Europe
Austria,Haiti,872000.0,Europe
Austria,Honduras,585000.0,Europe
Austria,Hungary,242272000.0,Europe
Austria,Iceland,1709000.0,Europe
Austria,India,6428000.0,Europe
Austria,Indonesia,525000.0,Europe
Austria,Iran (Islamic Republic of),3928000.0,Europe
Austria,Iraq,7506000.0,Europe
Austria,Ireland,25244000.0,Europe
Austria,Israel,19964000.0,Europe
Austria,Italy,1365012000.0,Europe
Austria,Jamaica,11640000.0,Europe
Austria,Japan,74809000.0,Europe
Austria,Jordan,7948000.0,Europe
Austria,Kazakhstan,11631000.0,Europe
Austria,Kenya,1091000.0,Europe
Austria,Kuwait,15213000.0,Europe
Austria,Kyrgyzstan,79000.0,Europe
Austria,Latvia,8360000.0,Europe
Austria,Lebanon,8838000.0,Europe
Austria,Liberia,473000.0,Europe
Austria,Libya,22154000.0,Europe
Austria,Lithuania,15418000.0,Europe
Austria,Luxembourg,19407000.0,Europe
Austria,Malaysia,973000.0,Europe
Austria,Maldives,592000.0,Europe
Austria,Mali,78000.0,Europe
Austria,Malta,4322000.0,Europe
Austria,Mauritania,56000.0,Europe
Austria,Mauritius,1974000.0,Europe
Austria,Mexico,38762000.0,Europe
Austria,Mongolia,276000.0,Europe
Austria,Montenegro,69762000.0,Europe
Austria,Morocco,2101000.0,Europe
Austria,Mozambique,697000.0,Europe
Austria,Namibia,861000.0,Europe
Austria,Nepal,21000.0,Europe
Austria,Netherlands,262429000.0,Europe
Austria,Netherlands Antilles (former),2318000.0,Europe
Austria,New Caledonia,5000.0,Europe
Austria,New Zealand,11000000.0,Europe
Austria,Nicaragua,585000.0,Europe
Austria,Nigeria,5501000.0,Europe
Austria,Norway,8788000.0,Europe
Austria,Oman,4694000.0,Europe
Austria,Pakistan,3080000.0,Europe
Austria,Panama,6438000.0,Europe
Austria,Paraguay,1234000.0,Europe
Austria,Peru,2822000.0,Europe
Austria,Philippines,834000.0,Europe
Austria,Poland,119168000.0,Europe
Austria,Portugal,9205000.0,Europe
Austria,Qatar,5895000.0,Europe
Austria,Republic of Korea,47665000.0,Europe
Austria,Republic of Moldova,3477000.0,Europe
Austria,Romania,162993000.0,Europe
Austria,Russian Federation,214969000.0,Europe
Austria,Rwanda,1192000.0,Europe
Austria,Saint Kitts and Nevis,229000.0,Europe
Austria,Saint Lucia,443000.0,Europe
Austria,Saint Vincent and the Grenadines,159000.0,Europe
Austria,Sao Tome and Principe,166000.0,Europe
Austria,Saudi Arabia,46673000.0,Europe
Austria,Senegal,1019000.0,Europe
Austria,Serbia,49808000.0,Europe
Austria,Seychelles,205000.0,Europe
Austria,Sierra Leone,497000.0,Europe
Austria,Singapore,5529000.0,Europe
Austria,Slovakia,89010000.0,Europe
Austria,Slovenia,212761000.0,Europe
Austria,Somalia,692000.0,Europe
Austria,South Africa,50698000.0,Europe
Austria,Spain,179678000.0,Europe
Austria,Sri Lanka,7998000.0,Europe
Austria,Sudan (former),980000.0,Europe
Austria,Suriname,787000.0,Europe
Austria,Sweden,83865000.0,Europe
Austria,Switzerland,260454000.0,Europe
Austria,Syrian Arab Republic,1407000.0,Europe
Austria,Tajikistan,552000.0,Europe
Austria,Thailand,784000.0,Europe
Austria,The former Yugoslav Republic of Macedonia,29463000.0,Europe
Austria,Togo,147000.0,Europe
Austria,Trinidad and Tobago,3815000.0,Europe
Austria,Tunisia,3796000.0,Europe
Austria,Turkey,20659000.0,Europe
Austria,Turkmenistan,72000.0,Europe
Austria,Turks and Caicos Islands,159000.0,Europe
Austria,Uganda,708000.0,Europe
Austria,Ukraine,52550000.0,Europe
Austria,United Arab Emirates,35883000.0,Europe
Austria,United Kingdom,305381000.0,Europe
Austria,United Republic of Tanzania,6160000.0,Europe
Austria,United States of America,1647412000.0,Europe
Austria,Unspecified Area,28963000.0,Europe
Austria,Uruguay,561000.0,Europe
Austria,Uzbekistan,4500000.0,Europe
Austria,Venezuela (Bolivarian Republic of),10399000.0,Europe
Austria,Viet Nam,443000.0,Europe
Austria,Yemen,10106000.0,Europe
Austria,Zambia,29000.0,Europe
Azerbaijan,Afghanistan,37000.0,Asia
Azerbaijan,Australia,15000.0,Asia
Azerbaijan,Belarus,825000.0,Asia
Azerbaijan,Belgium,1334000.0,Asia
Azerbaijan,Brazil,11000.0,Asia
Azerbaijan,Bulgaria,1000.0,Asia
Azerbaijan,Canada,593000.0,Asia
Azerbaijan,"China, mainland",195000.0,Asia
Azerbaijan,"China, Taiwan Province of",13000.0,Asia
Azerbaijan,Estonia,196000.0,Asia
Azerbaijan,France,257000.0,Asia
Azerbaijan,Georgia,25685000.0,Asia
Azerbaijan,Germany,8035000.0,Asia
Azerbaijan,Greece,10000.0,Asia
